804e28d8  8058dc42 nt!NtQuerySystemTime
804e28dc  8058e90d nt!NtQueryTimer
804e28e0  80587579 nt!NtQueryTimerResolution
804e28e4  8056a531 nt!NtQueryValueKey
804e28e8  80571418 nt!NtQueryVirtualMemory
804e28ec  8056fbc3 nt!NtQueryVolumeInformationFile
804e28f0  8058e352 nt!NtQueueApcThread
804e28f4  804e1fb2 nt!NtRaiseException
804e28f8  8064916b nt!NtRaiseHardError
804e28fc  8057044f nt!NtReadFile
804e2900  805da060 nt!NtReadFileScatter
804e2904  8058b527 nt!NtReadRequestData
804e2908  805814b2 nt!NtReadVirtualMemory
804e290c  80579072 nt!NtRegisterThreadTerminatePort
804e2910  805665fb nt!NtReleaseMutant
804e2914  8058ba06 nt!NtReleaseSemaphore
804e2918  80567119 nt!NtRemoveIoCompletion
804e291c  8065c346 nt!NtRemoveProcessDebug
804e2920  8064f822 nt!NtRenameKey
804e2924  8065017e nt!NtReplaceKey
804e2928  80580514 nt!NtReplyPort
804e292c  8056bd3c nt!NtReplyWaitReceivePort
804e2930  8056b854 nt!NtReplyWaitReceivePortEx
804e2934  806239f6 nt!NtReplyWaitReplyPort
804e2938  8062c807 nt!NtRequestDeviceWakeup
804e293c  80596862 nt!NtRequestPort
804e2940  8056dd9e nt!NtRequestWaitReplyPort
804e2944  8062c600 nt!NtRequestWakeupLatency
804e2948  805dd720 nt!NtResetEvent
804e294c  8053bd02 nt!NtResetWriteWatch
804e2950  8064fd15 nt!NtRestoreKey
804e2954  806300c0 nt!NtResumeProcess
804e2958  80578f98 nt!NtResumeThread
804e295c  8064fe16 nt!NtSaveKey
804e2960  8064ff01 nt!NtSaveKeyEx
804e2964  8065002e nt!NtSaveMergedKeys
804e2968  80579c0a nt!NtSecureConnectPort
804e296c  80649b8b nt!NtSetBootEntryOrder
804e2970  80649b8b nt!NtSetBootEntryOrder
804e2974  8062e94f nt!NtSetContextThread
804e2978  8065de8e nt!NtSetDebugFilterState
804e297c  805b21fb nt!NtSetDefaultHardErrorPort
804e2980  805ad7b7 nt!NtSetDefaultLocale
804e2984  805ad75e nt!NtSetDefaultUILanguage
804e2988  80617635 nt!NtSetEaFile
804e298c  805699fd nt!NtSetEvent
804e2990  8056ca46 nt!NtSetEventBoostPriority
804e2994  8064a5c1 nt!NtSetHighEventPair
804e2998  8064a4e5 nt!NtSetHighWaitLowEventPair
804e299c  8065bce7 nt!NtSetInformationDebugObject
804e29a0  8057e4da nt!NtSetInformationFile
804e29a4  805aa1c4 nt!NtSetInformationJobObject
804e29a8  8064ef06 nt!NtSetInformationKey
804e29ac  80581ba6 nt!NtSetInformationObject
804e29b0  80570e2d nt!NtSetInformationProcess
804e29b4  8056c62e nt!NtSetInformationThread
804e29b8  805a75bc nt!NtSetInformationToken
804e29bc  8064a7db nt!NtSetIntervalProfile
804e29c0  8056c4e3 nt!NtSetIoCompletion
804e29c4  8062f1a3 nt!NtSetLdtEntries
804e29c8  8064a557 nt!NtSetLowEventPair
804e29cc  8064a473 nt!NtSetLowWaitHighEventPair
804e29d0  80617981 nt!NtSetQuotaInformationFile
804e29d4  80598227 nt!NtSetSecurityObject
804e29d8  80649e50 nt!NtSetSystemEnvironmentValue
804e29dc  80649b50 nt!NtSetSystemEnvironmentValueEx
804e29e0  805a6aa9 nt!NtSetSystemInformation
804e29e4  8066878b nt!NtSetSystemPowerState
804e29e8  80648ab3 nt!NtSetSystemTime
804e29ec  805e02da nt!NtSetThreadExecutionState
804e29f0  804e570b nt!NtSetTimer
804e29f4  805e0960 nt!NtSetTimerResolution
804e29f8  805a98db nt!NtSetUuidSeed
804e29fc  8057daf3 nt!NtSetValueKey
804e2a00  80617ec3 nt!NtSetVolumeInformationFile
804e2a04  806481ff nt!NtShutdownSystem
804e2a08  80517369 nt!NtSignalAndWaitForSingleObject
804e2a0c  8064aa44 nt!NtStartProfile
804e2a10  8064abfd nt!NtStopProfile
804e2a14  80630065 nt!NtSuspendProcess
804e2a18  805e05d6 nt!NtSuspendThread
804e2a1c  8064ad5d nt!NtSystemDebugControl
804e2a20  80630999 nt!NtTerminateJobObject
804e2a24  faf05006 SSDTHook+0x1006
804e2a28  80578037 nt!NtTerminateThread
804e2a2c  80578a7f nt!NtTestAlert
804e2a30  80545d00 nt!NtTraceEvent
804e2a34  80649b9f nt!NtTranslateFilePath
804e2a38  8061a306 nt!NtUnloadDriver
804e2a3c  8064ea6a nt!NtUnloadKey
804e2a40  8064ec9b nt!NtUnloadKeyEx
804e2a44  80590abc nt!NtUnlockFile
804e2a48  80627907 nt!NtUnlockVirtualMemory
804e2a4c  8057c6b6 nt!NtUnmapViewOfSection
804e2a50  805be9a8 nt!NtVdmControl
804e2a54  8065ba30 nt!NtWaitForDebugEvent
804e2a58  80566846 nt!NtWaitForMultipleObjects
804e2a5c  805662fc nt!NtWaitForSingleObject
804e2a60  8064a409 nt!NtWaitHighEventPair
804e2a64  8064a39f nt!NtWaitLowEventPair
804e2a68  8057e785 nt!NtWriteFile
804e2a6c  805d9c96 nt!NtWriteFileGather
804e2a70  8058b714 nt!NtWriteRequestData
804e2a74  805815aa nt!NtWriteVirtualMemory
804e2a78  804f5142 nt!NtYieldExecution
804e2a7c  805cbc2d nt!NtCreateKeyedEvent
804e2a80  80584ab0 nt!NtOpenKeyedEvent
804e2a84  8064b1d1 nt!NtReleaseKeyedEvent
804e2a88  8064b46c nt!NtWaitForKeyedEvent
804e2a8c  8062dbf1 nt!NtQueryPortInformationProcess
804e2a90  57565355
804e2a94  f1241d8b
804e2a98  848dffdf
804e2a9c  ffd00024
804e2aa0  1c433bff
804e2aa4  e8541673
804e2aa8  0000f4b7
804e2aac  850fc00b
804e2ab0  000000d8
804e2ab4  a31c438b
804e2ab8  ffdff008
804e2abc  012cb3ff
804e2ac0  938b0000
804e2ac4  00000134
