bankA year sizeofA bankB sizeofB diff
1037115 1990 18.34921862 1248902 16.98128307 1.367935547
1068294 1990 17.5913207 1042351 19.19534339 1.604022689
1120754 1990 17.23735661 1076776 17.28790813 0.050551515
1069778 1990 17.63704872 1040795 18.40113518 0.764086457
1120754 1990 17.23735661 1068025 17.080469 0.156887615
1037115 1990 18.34921862 1070251 15.65532722 2.693891395
1037115 1990 18.34921862 1199844 16.4413856 1.907833023
1069778 1990 17.63704872 1025309 16.18561756 1.45143116
1069125 1990 16.98278251 1116300 16.97821125 0.004571259
1069125 1990 16.98278251 1110344 16.12626152 0.856520995
1068294 1990 17.5913207 1024058 15.68473742 1.906583283
1120754 1990 17.23735661 1079638 15.46137181 1.775984801
1069778 1990 17.63704872 1112076 17.29764477 0.33940395
1039502 1990 18.10623024 1079946 15.41014991 2.696080329
1073757 1990 17.99426543 1048513 13.74488528 4.249380146
1120754 1990 17.23735661 1113514 17.29696641 0.059609794
1069778 1990 17.63704872 1102367 14.99781826 2.639230461
1120754 1990 17.23735661 1020603 17.11662974 0.12072687
1120754 1990 17.23735661 1078426 15.68573904 1.551617578
1039502 1990 18.10623024 1033470 17.63079909 0.475431147
1037115 1990 18.34921862 1078604 15.9808052 2.368413417
1068294 1990 17.5913207 1027602 14.95063734 2.640683367
1068294 1990 17.5913207 1079946 15.41014991 2.181170795
1068294 1990 17.5913207 1031449 13.41800618 4.173314526
1039502 1990 18.10623024 1077689 16.4100456 1.696184636
1140743 1990 16.97617346 1136157 17.08365377 0.107480311
1120754 1990 17.23735661 1077689 16.4100456 0.827311011
1068294 1990 17.5913207 1199611 16.28268704 1.308633668
1069778 1990 17.63704872 1199460 13.97051744 3.666531278
1140743 1990 16.97617346 1094369 15.20298173 1.773191729
1037115 1990 18.34921862 1068762 17.17917048 1.170048144
1068294 1990 17.5913207 1078604 15.9808052 1.610515503
1037115 1990 18.34921862 1023060 16.2921208 2.057097815
1069125 1990 16.98278251 1199460 13.97051744 3.012265071
1073757 1990 17.99426543 1076776 17.28790813 0.706357301
1120754 1990 17.23735661 1035296 17.93503542 0.697678805
1037115 1990 18.34921862 1199611 16.28268704 2.066531583
1068294 1990 17.5913207 1048513 13.74488528 3.846435421
1140743 1990 16.97617346 1116953 14.92647524 2.049698215
1073757 1990 17.99426543 1110344 16.12626152 1.868003911
1140743 1990 16.97617346 1075126 15.77480544 1.201368011
1039502 1990 18.10623024 1116300 16.97821125 1.128018984
1069778 1990 17.63704872 1072237 16.29046367 1.346585052
1068294 1990 17.5913207 1130892 15.18671768 2.404603028
1069778 1990 17.63704872 1035296 17.93503542 0.297986698
1073757 1990 17.99426543 1023538 17.75430113 0.239964296
1068294 1990 17.5913207 1116953 14.92647524 2.664845464
1039502 1990 18.10623024 1093586 16.67752216 1.428708075
1037115 1990 18.34921862 1020603 17.11662974 1.232588875
1037115 1990 18.34921862 1079441 16.01338648 2.335832141
1037115 1990 18.34921862 1032473 17.96806113 0.381157486
1037115 1990 18.34921862 1072107 16.25224964 2.096968982
1073757 1990 17.99426543 1027602 14.95063734 3.043628093
1037115 1990 18.34921862 1094211 15.84940594 2.499812676
1069125 1990 16.98278251 1068025 17.080469 0.097686485
1039502 1990 18.10623024 1073364 17.09318508 1.013045164
1069778 1990 17.63704872 1023060 16.2921208 1.344927917
1140743 1990 16.97617346 1076776 17.28790813 0.311734673
1069125 1990 16.98278251 1248902 16.98128307 0.001499441
1039502 1990 18.10623024 1023060 16.2921208 1.814109435
1037115 1990 18.34921862 1079638 15.46137181 2.887846806
1069125 1990 16.98278251 1049341 15.72310821 1.259674304
1037115 1990 18.34921862 1074790 15.45620021 2.893018411
1069778 1990 17.63704872 1079441 16.01338648 1.623662242
1068294 1990 17.5913207 1248902 16.98128307 0.610037632
1068294 1990 17.5913207 1199714 16.21316289 1.378157812
1037115 1990 18.34921862 1024526 18.29308598 0.056132639
1039502 1990 18.10623024 1070251 15.65532722 2.450903015
1069778 1990 17.63704872 1068762 17.17917048 0.457878245
1068294 1990 17.5913207 1072291 16.155324 1.435996709
1120754 1990 17.23735661 1093634 14.56646616 2.670890451
1120754 1990 17.23735661 1093586 16.67752216 0.55983445
1140743 1990 16.97617346 1027004 15.08500983 1.891163623
1069125 1990 16.98278251 1119794 16.75998433 0.222798188
1069778 1990 17.63704872 1068025 17.080469 0.556579722
1069778 1990 17.63704872 1094369 15.20298173 2.434066995
1037115 1990 18.34921862 1199714 16.21316289 2.136055727
1068294 1990 17.5913207 1136157 17.08365377 0.507666938
1039502 1990 18.10623024 1073551 17.52372005 0.582510187
1037115 1990 18.34921862 1024058 15.68473742 2.664481198
1037115 1990 18.34921862 1136157 17.08365377 1.265564853
1073757 1990 17.99426543 1113514 17.29696641 0.697299021
1069778 1990 17.63704872 1079638 15.46137181 2.175676908
1120754 1990 17.23735661 1039454 13.18804812 4.049308498
1120754 1990 17.23735661 1094211 15.84940594 1.387950671
1039502 1990 18.10623024 1032473 17.96806113 0.138169106
1140743 1990 16.97617346 1027518 15.41763076 1.558542694
1073757 1990 17.99426543 1072107 16.25224964 1.742015793
1120754 1990 17.23735661 1074156 15.022153 2.215203619
1037115 1990 18.34921862 1199460 13.97051744 4.378701177
1140743 1990 16.97617346 1110344 16.12626152 0.849911936
1037115 1990 18.34921862 1023538 17.75430113 0.594917485
1068294 1990 17.5913207 1199460 13.97051744 3.620803262
1039502 1990 18.10623024 1035296 17.93503542 0.171194821
1140743 1990 16.97617346 1074790 15.45620021 1.519973248
1073757 1990 17.99426543 1031449 13.41800618 4.576259251
1120754 1990 17.23735661 1023060 16.2921208 0.94523581
1120754 1990 17.23735661 1040795 18.40113518 1.163778564
1037115 1990 18.34921862 1201028 17.74299344 0.606225178
1039502 1990 18.10623024 1093634 14.56646616 3.539764076
1068294 1990 17.5913207 1073551 17.52372005 0.067600652
1073757 1990 17.99426543 1068762 17.17917048 0.815094954
1039502 1990 18.10623024 1119794 16.75998433 1.346245913
1068294 1990 17.5913207 1094640 15.7187625 1.872558201
1120754 1990 17.23735661 1068762 17.17917048 0.058186138
1069125 1990 16.98278251 1027004 15.08500983 1.897772681
1039502 1990 18.10623024 1024058 15.68473742 2.421492818
1073757 1990 17.99426543 1032473 17.96806113 0.026204297
1069125 1990 16.98278251 1068191 16.2843543 0.69842821
1140743 1990 16.97617346 1094640 15.7187625 1.257410952
1120754 1990 17.23735661 1102367 14.99781826 2.239538354
1039502 1990 18.10623024 1042351 19.19534339 1.089113154
1037115 1990 18.34921862 1093586 16.67752216 1.671696455
1073757 1990 17.99426543 1033470 17.63079909 0.363466338
1039502 1990 18.10623024 1248902 16.98128307 1.124947167
1068294 1990 17.5913207 1074156 15.022153 2.569167709
1069125 1990 16.98278251 1093586 16.67752216 0.30526035
1069778 1990 17.63704872 1049341 15.72310821 1.913940511
1069778 1990 17.63704872 1073364 17.09318508 0.543863646
1039502 1990 18.10623024 1026016 18.5225873 0.416357062
1069125 1990 16.98278251 1111435 16.27089553 0.711886981
1140743 1990 16.97617346 1117679 13.74849003 3.22768343
1039502 1990 18.10623024 1116953 14.92647524 3.179754999
1120754 1990 17.23735661 1112076 17.29764477 0.060288156
1120754 1990 17.23735661 1199611 16.28268704 0.954669578
1069778 1990 17.63704872 1072291 16.155324 1.481724725
1120754 1990 17.23735661 1024058 15.68473742 1.552619193
1039502 1990 18.10623024 1039454 13.18804812 4.918182123
1073757 1990 17.99426543 1073551 17.52372005 0.470545378
1037115 1990 18.34921862 1102367 14.99781826 3.35140036
1140743 1990 16.97617346 1102367 14.99781826 1.978355196
1069778 1990 17.63704872 1119794 16.75998433 0.877064395
1069125 1990 16.98278251 1068762 17.17917048 0.196387962
1039502 1990 18.10623024 1040795 18.40113518 0.294904939
1069125 1990 16.98278251 1024526 18.29308598 1.310303466
1069125 1990 16.98278251 1079441 16.01338648 0.969396035
1140743 1990 16.97617346 1025701 16.68812899 0.288044468
1069778 1990 17.63704872 1039454 13.18804812 4.449000605
1068294 1990 17.5913207 1199497 15.82508595 1.766234759
1140743 1990 16.97617346 1048513 13.74488528 3.231288172
1039502 1990 18.10623024 1074156 15.022153 3.084077244
1039502 1990 18.10623024 1024526 18.29308598 0.186855741
1039502 1990 18.10623024 1112076 17.29764477 0.808585469
1140743 1990 16.97617346 1078604 15.9808052 0.995368254
1039502 1990 18.10623024 1023538 17.75430113 0.351929105
1120754 1990 17.23735661 1033470 17.63079909 0.393442478
1069778 1990 17.63704872 1070251 15.65532722 1.981721497
1140743 1990 16.97617346 1072291 16.155324 0.820849459
1039502 1990 18.10623024 1111435 16.27089553 1.835334706
1120754 1990 17.23735661 1074790 15.45620021 1.781156406
1120754 1990 17.23735661 1070251 15.65532722 1.58202939
1069778 1990 17.63704872 1027004 15.08500983 2.552038888
1039502 1990 18.10623024 1079638 15.46137181 2.644858426
1120754 1990 17.23735661 1027095 17.84440118 0.607044562
1073757 1990 17.99426543 1080371 15.31369485 2.680570583
1069778 1990 17.63704872 1027095 17.84440118 0.207352455
1140743 1990 16.97617346 1026016 18.5225873 1.546413846
1039502 1990 18.10623024 1199714 16.21316289 1.893067347
1120754 1990 17.23735661 1049154 14.94499955 2.292357064
1073757 1990 17.99426543 1023060 16.2921208 1.702144626
1069125 1990 16.98278251 1027095 17.84440118 0.861618662
1069125 1990 16.98278251 1023060 16.2921208 0.69066171
1140743 1990 16.97617346 1199844 16.4413856 0.53478786
1120754 1990 17.23735661 1024526 18.29308598 1.055729366
1140743 1990 16.97617346 1068191 16.2843543 0.691819152
1120754 1990 17.23735661 1072107 16.25224964 0.985106977
1120754 1990 17.23735661 1025309 16.18561756 1.051739053
1140743 1990 16.97617346 1199497 15.82508595 1.15108751
1069125 1990 16.98278251 1023538 17.75430113 0.77151862
1037115 1990 18.34921862 1026016 18.5225873 0.173368682
1140743 1990 16.97617346 1112076 17.29764477 0.321471315
1039502 1990 18.10623024 1068191 16.2843543 1.821875935
1140743 1990 16.97617346 1201028 17.74299344 0.766819986
1069125 1990 16.98278251 1025309 16.18561756 0.797164953
1073757 1990 17.99426543 1136157 17.08365377 0.910611663
1120754 1990 17.23735661 1079946 15.41014991 1.827206704
1068294 1990 17.5913207 1033470 17.63079909 0.039478387
1069778 1990 17.63704872 1033470 17.63079909 0.006249629
1069125 1990 16.98278251 1116953 14.92647524 2.056307273
1068294 1990 17.5913207 1113514 17.29696641 0.294354296
1069778 1990 17.63704872 1078426 15.68573904 1.951309685
1068294 1990 17.5913207 1075126 15.77480544 1.81651526
1140743 1990 16.97617346 1027095 17.84440118 0.86822772
1140743 1990 16.97617346 1073551 17.52372005 0.547546597
1120754 1990 17.23735661 1080371 15.31369485 1.923661767
1140743 1990 16.97617346 1070345 15.88971566 1.086457792
1037115 1990 18.34921862 1040795 18.40113518 0.051916559
1140743 1990 16.97617346 1033470 17.63079909 0.654625636
1069125 1990 16.98278251 1079638 15.46137181 1.521410701
1039502 1990 18.10623024 1020603 17.11662974 0.989600495
1073757 1990 17.99426543 1199460 13.97051744 4.023747987
